JAIL 	 6.3192371
E3 	 3.1720392
R3 	 3.0753407
D3 	 3.0705669
GO 	 3.0232988
R1 	 2.9760532
D2 	 2.9438728000000003
R2 	 2.891394
FP 	 2.8837992999999997
E1 	 2.8352636
D1 	 2.8008419
U2 	 2.7956162
E2 	 2.725491
C1 	 2.6993251
F1 	 2.6971331000000003
G1 	 2.6728077
F2 	 2.6717003
H2 	 2.6312607
G2 	 2.6205395
U1 	 2.6081806
F3 	 2.5819405
CC2 	 2.5384198000000002
G3 	 2.4958308
C3 	 2.4672493
R4 	 2.4293533
CC3 	 2.4270962
C2 	 2.3765013
T1 	 2.3295253
B2 	 2.3191468
B3 	 2.2998376
B1 	 2.2576473
H1 	 2.1871931
T2 	 2.1830839
A2 	 2.1662151
A1 	 2.1393471
CC1 	 1.9142278
CH2 	 1.0559406
CH3 	 0.8833852
CH1 	 0.8342973
G2J 	 0.0


JAIL 	 7.10403
R2 	 3.6802099999999998
E3 	 3.2813799999999995

101524


D1 	 3.2344600000000003
D3 	 3.09047
R3 	 3.08602
E1 	 3.04205
FP 	 3.00314
D2 	 2.99243
E2 	 2.9858800000000003
C3 	 2.89029
R1 	 2.8811199999999997
U2 	 2.84892
GO 	 2.84287
G1 	 2.8107699999999998
F3 	 2.75033
F1 	 2.66255
CC2 	 2.58929
G2 	 2.5851200000000003
F2 	 2.55394
C2 	 2.52108
H2 	 2.46426
C1 	 2.44089
U1 	 2.40803
T1 	 2.27677
G3 	 2.19333
CC3 	 2.14417
B2 	 2.1150700000000002
H1 	 2.1099799999999997
B1 	 2.10584
B3 	 2.0998200000000002
T2 	 2.06683
A2 	 2.0316
R4 	 1.97291
A1 	 1.75634
CC1 	 1.69613
CH2 	 1.16578
CH3 	 0.79947
CH1 	 0.71643
G2J 	 0.0
